Course title,choice 1,choice2,choice3
Enhancing Problem Solving Skills,B1+TB1:MANI,B1+TB1:SUNI,B2+TB2:SUTHU
,,,
,,,
Deep Learning,E1+L5+L6:Prakash P,E1+L31+L32:Dr.R Jothi,E2+L27+L28:Dr.R Jothi
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Business Analytics with Spreadsheet Modelling,B1:MANNIKAM,B2:LAURANCE,B2:KUMAR
,,,
,,,
,,,
Financial management,F1+TF1:RAM,F1+TF1:OTHA,F2+TF2:SUTHUMAGAN
,,,
,,,
,,,
Bigdata Computing for Business Analytics,G1:L11+L12:Dr.Siva Priya M S,G1:L37+L38:Dr.Parvathy A K,G2+L3+L4:Dr.Siva Priya M S
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Predictive Analytics with Case Studies,C1+TC1:Dr.Tamilarasi K,C2+TC2:Dr.Marimuthu M,
,,,
,,,
,,,
,,,
Information Retrieval and Organization ,C1: Dr Malini Deepika,,
,,,
,,,
Internet of Things,A1:L23+L24:Prof.Hemalatha K,A2+L9+L10:JOSHUA SUNDER DAVID REDDIPOGU,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
DevOps,A1+L49+L50: SCOPE13,,
,,,
,,,
,,,
,,,
Marketing Analytics,D1+TD1:WHT,D2+TD2:NIGGAMAN,
,,,
Digital and Social Media Marketing,D1+TD1:SARASWATHI,,
